mean reward at round 187:118.72033364736582
mean reward at round 188:116.93050059458166
mean reward at round 189:118.88081040183818
mean reward at round 190:122.6759459122374
mean reward at round 191:125.94577175491968
mean reward at round 192:120.68786531558355
mean reward at round 193:121.49078885152282
mean reward at round 194:122.5307776489853
mean reward at round 195:115.09740660976377
mean reward at round 196:114.34694018387898
mean reward at round 197:118.45010604811708
mean reward at round 198:121.25999694504914
mean reward at round 199:116.13434056094786
mean reward at round 200:117.04874608159686
mean reward at round 201:120.17482225657344
mean reward at round 202:122.34307433863795
mean reward at round 203:119.46045497963837
mean reward at round 204:119.02194519088282
mean reward at round 205:120.86602875477175
mean reward at round 206:123.61467166305108
mean reward at round 207:122.16809867796357
mean reward at round 208:116.98983722800482
mean reward at round 209:116.51473834748168
mean reward at round 210:111.16491280745038
mean reward at round 211:113.50282432785825
mean reward at round 212:115.18682551885226
mean reward at round 213:114.39544609108901
mean reward at round 214:120.36998956682773
mean reward at round 215:112.23520016125359
mean reward at round 216:112.95645054272129
mean reward at round 217:110.78839893467165
mean reward at round 218:111.20167735991402
mean reward at round 219:108.84416563323154
mean reward at round 220:110.50356006700733
mean reward at round 221:111.29936318424176
mean reward at round 222:110.08956907387616
mean reward at round 223:103.87548156775745
mean reward at round 224:109.69748790125067
mean reward at round 225:109.58618014898035
mean reward at round 226:109.42584245714971
mean reward at round 227:125.16515209631636
mean reward at round 228:111.00871297087812
mean reward at round 229:115.85123948412723
mean reward at round 230:112.97231897288538
mean reward at round 231:113.60141587402599
mean reward at round 232:114.78718918217538
mean reward at round 233:116.52879947782296
mean reward at round 234:121.11581000367804
mean reward at round 235:114.82387247418285
mean reward at round 236:117.60450435914342
mean reward at round 237:111.55729960646077
mean reward at round 238:110.64718149722444
mean reward at round 239:113.77131463959452
mean reward at round 240:113.59232755839355
mean reward at round 241:115.5185024928847
mean reward at round 242:115.432356379618
mean reward at round 243:120.7359295877944
mean reward at round 244:115.9414476954166
mean reward at round 245:115.3431612496207
mean reward at round 246:118.86994301538054
mean reward at round 247:118.69188528834125
